188190.291262, 0
189073.786408, 3
190069.902913, -4
191093.203883, -21
192089.320388, -49
193085.436893, -31
194081.553398, -14
195081.553398, -47
196077.669903, -46
197100.970874, -45
198093.203883, -59
199093.203883, -38
200089.320388, -30
201085.436893, -46
202112.621359, -22
203104.854369, -8
204100.970874, -22
205100.970874, -28
206097.087379, -21
207093.203883, -20
208116.504854, -38
209108.737864, -25
210104.854369, -17
211097.087379, -42
212120.388350, -36
213116.504854, -48
214112.621359, -64
215108.737864, -26
216108.737864, -10
217132.038835, -27
218124.271845, -29
219124.271845, -40
220120.388350, -51
221116.504854, -48
222112.621359, -49
223135.922330, -55
224132.038835, -20
225124.271845, -32
226124.271845, -32
227120.388350, -8
228143.689320, -20
229135.922330, -15
230128.155340, -4
231151.456311, -39
232147.572816, -60
233143.689320, -43
234139.805825, -51
235135.922330, -55
236132.038835, -33
237159.223301, -26
238151.456311, -15
239143.689320, -16
240135.922330, -54
241155.339806, -19
242151.456311, -1
243151.456311, -42
244147.572816, -23
245143.689320, -29
246166.990291, -46
247159.223301, -11
248151.456311, -33
249170.873786, -42
250170.873786, 7
251166.990291, -15
252163.106796, -27
253159.223301, -1
254155.339806, -26
255182.524272, -22
256174.757282, -10
257166.990291, -41
258159.223301, -53
259178.640777, -45
260174.757282, -55
261174.757282, -49
262170.873786, -6
263166.990291, -22
264190.291262, -33
265182.524272, -35
266178.640777, -48
267198.058252, -26
268194.174757, -21
269190.291262, -42
270186.407767, -43
271182.524272, -54
272182.524272, -78
273205.825243, -35
274198.058252, -26
275190.291262, -22
276209.708738, -16
277209.708738, -27
278205.825243, -45
279201.941748, -23
280198.058252, -25
281194.174757, -23
282217.475728, -3
283213.592233, -37
284205.825243, -30
285198.058252, -29
286217.475728, -54
287213.592233, -26
288209.708738, -16
289209.708738, -37
290205.825243, -20
291229.126214, -10
292221.359223, -44
293217.475728, -32
294233.009709, -23
295229.126214, -15
296229.126214, -12
297225.242718, -30
298221.359223, -23
299217.475728, -14
300244.660194, -24
301236.893204, -28
302229.126214, -21
303221.359223, -64
304240.776699, -52
305236.893204, -25
306236.893204, -35
307236.893204, -39
308233.009709, -23
309229.126214, -30
310003.883495, -6
311000.000000, -3
312240.776699, -16
313011.650485, -20
314007.766990, -30
315007.766990, -16
316007.766990, -21
317003.883495, -48
318000.000000, -40
319244.660194, -14
320019.417476, -6
321015.533981, -9
322007.766990, -49
323000.000000, -53
324019.417476, -10
325015.533981, -20
326015.533981, -41
327015.533981, -17
328011.650485, -14
329007.766990, -38
330034.951456, -28
331034.951456, -47
332031.067961, -33
333027.184466, -21
334027.184466, -32
335027.184466, -26
336023.300971, -28
337019.417476, -32
338042.718447, -19
339038.834951, -17
340034.951456, -46
341031.067961, -22
342031.067961, -41
343027.184466, -45
344050.485437, -15
345042.718447, -17
346038.834951, -10
347034.951456, 0
348058.252427, -39
349054.368932, -43
350046.601942, -16
351042.718447, -23
352042.718447, -31
353066.019417, -39
354066.019417, -40
355062.135922, -22
356062.135922, -52
357058.252427, -66
358054.368932, -45
359054.368932, -33
360050.485437, -32
361073.786408, 0
362073.786408, -8
363069.902913, -49
364069.902913, -38
365069.902913, -48
366066.019417, -53
367062.135922, -44
368062.135922, -46
369085.436893, -36
370085.436893, -22
371085.436893, -28
372085.436893, -42
373085.436893, -10
374089.320388, -13
375089.320388, -17
376093.203883, -22
377093.203883, -23
378093.203883, -12
379093.203883, -39
380093.203883, -37
381093.203883, -23
382093.203883, -20
383093.203883, -32
384093.203883, -34
385093.203883, -52
386093.203883, -75
387093.203883, -51
388093.203883, -17
389093.203883, 1
390089.320388, -9
391093.203883, -65
392093.203883, -45
393093.203883, -42
394120.388350, -73
395112.621359, -45
396104.854369, -48
397124.271845, -66
398120.388350, -12
399120.388350, -2
400120.388350, -12
401120.388350, -6
402120.388350, -33
403120.388350, -18
404116.504854, 18
405112.621359, -20
406135.922330, -47
407128.155340, -33
408120.388350, -55
409139.805825, -39
410139.805825, -24
411135.922330, -45
412139.805825, -16
413135.922330, -31
414135.922330, -48
415135.922330, -16
416139.805825, -28
417135.922330, -44
418139.805825, -33
419135.922330, -57
420139.805825, -61
421139.805825, -23
422135.922330, -49
423139.805825, -53
424139.805825, -11
425135.922330, -39
426135.922330, -27
427163.106796, 3
428163.106796, -27
429159.223301, -20
430155.339806, -30
431151.456311, -75
432151.456311, -51
433174.757282, -14
434166.990291, -27
435159.223301, -12
436159.223301, -41
437155.339806, -40
438178.640777, -25
439170.873786, -67
440166.990291, -59
441186.407767, -38
442182.524272, -61
443178.640777, -27
444174.757282, 9
445170.873786, -32
446166.990291, 2
447194.174757, 11
448186.407767, -63
449186.407767, -39
450182.524272, -38
451178.640777, -39
452174.757282, 1
453201.941748, -15
454194.174757, -36
455186.407767, 3
456186.407767, -26
457182.524272, -44
458205.825243, 1
459198.058252, -42
460190.291262, -51
461209.708738, -6
462209.708738, -57
463209.708738, -46
464205.825243, 14
465201.941748, -21
466201.941748, -28
467201.941748, -47
468198.058252, -73
469221.359223, -25
470213.592233, -22
471205.825243, -67
472229.126214, -24
473225.242718, -22
474221.359223, -31
475221.359223, 4
476217.475728, -57
477217.475728, -57
478213.592233, 4
479209.708738, -37
480233.009709, -38
481225.242718, 0
482221.359223, -21
483240.776699, 5
484240.776699, 3
485240.776699, -51
486240.776699, -9
487240.776699, -30
488240.776699, -66
489240.776699, -57
490240.776699, -49
491240.776699, -56
492240.776699, -4
493240.776699, -39
494240.776699, -46
495240.776699, -10
496240.776699, -45
497240.776699, -37
498240.776699, -9
