-27,-193,-124,564
-30,-191,-119,561
-29,-191,-120,561
-29,-194,-119,560
-31,-193,-121,560
-31,-193,-119,561
-31,-193,-122,561
-32,-191,-120,563
-33,-192,-122,563
-32,-194,-124,562
-29,-193,-121,563
-27,-193,-123,562
-30,-191,-121,563
-29,-190,-121,562
-31,-189,-120,563
-30,-191,-122,564
-29,-191,-121,564
-29,-192,-123,564
-30,-191,-124,564
-27,-192,-123,564
-30,-191,-123,564
-29,-190,-121,563
-27,-190,-121,564
-24,-190,-121,561
-27,-191,-121,561
-27,-192,-120,561
-28,-192,-120,561
-28,-194,-120,561
-28,-192,-120,561
-30,-191,-122,565
-29,-193,-123,568
-28,-192,-123,565
-30,-191,-122,564
-29,-189,-120,563
-28,-191,-122,563
-33,-188,-121,561
-32,-191,-116,559
-29,-193,-120,560
-25,-195,-121,562
-27,-193,-119,562
-27,-194,-120,561
-25,-195,-117,561
-28,-192,-117,562
-29,-190,-119,561
-26,-194,-120,563
-23,-191,-118,560
-26,-191,-119,561
-25,-194,-120,558
-27,-189,-118,560
-28,-193,-120,561
-30,-193,-120,560
-26,-194,-120,563
-26,-195,-118,562
-28,-193,-122,560
-32,-189,-122,562
-28,-189,-122,561
-28,-191,-121,560
-28,-191,-123,562
-28,-193,-123,559
-29,-191,-122,558
-28,-193,-119,562
-25,-191,-122,564
-27,-191,-121,566
-28,-191,-122,562
-28,-190,-123,562
-27,-188,-120,563
-28,-187,-120,563
-27,-187,-124,563
-30,-190,-124,562
-31,-193,-126,564
-28,-194,-125,561
-29,-191,-124,565
-27,-192,-121,564
-26,-190,-123,563
-28,-189,-124,560
-27,-193,-122,562
-26,-193,-121,560
-27,-191,-125,560
-26,-199,-122,560
-27,-193,-124,562
-26,-192,-125,561
-25,-193,-124,560
-26,-191,-121,564
-29,-194,-123,564
-28,-191,-124,563
-27,-192,-123,561
-27,-191,-123,561
-29,-192,-121,562
-29,-191,-121,564
-28,-192,-121,565
-24,-190,-120,564
-28,-188,-120,561
-28,-190,-124,561
-32,-192,-121,561
-32,-193,-122,560
-29,-192,-122,563
-32,-194,-119,560
-30,-193,-122,561
-30,-192,-121,560
-30,-194,-121,562
-28,-196,-122,564
-28,-193,-121,563
-30,-193,-120,562
-29,-194,-122,561
-27,-196,-124,561
-26,-195,-121,562
-26,-193,-122,561
-25,-195,-121,564
-28,-193,-120,562
-30,-193,-120,562
-29,-193,-121,563
-26,-192,-119,561
-27,-192,-119,562
-26,-192,-121,563
-28,-190,-120,560
-29,-191,-123,560
-28,-193,-122,564
-29,-197,-122,564
-28,-193,-124,563
-31,-193,-124,567
-31,-192,-121,563
-29,-194,-123,561
-30,-192,-122,560
-28,-194,-121,560
-30,-192,-119,560
-27,-191,-122,562
-27,-195,-123,560
-26,-197,-122,560
-30,-196,-122,565
-28,-193,-122,563
-28,-193,-121,564
-30,-193,-122,561
-31,-194,-118,561
-30,-196,-119,564
-30,-194,-120,563
-31,-193,-123,562
-30,-191,-124,562
-30,-190,-124,564
-29,-193,-122,565
-28,-195,-122,566
-29,-193,-121,565
-29,-196,-121,564
-30,-194,-120,563
-27,-194,-121,564
-28,-191,-121,564
-26,-194,-123,564
-30,-196,-120,562
-28,-197,-121,566
-29,-197,-123,564
-29,-195,-121,563
-31,-196,-120,561
-29,-195,-122,562
-28,-192,-120,562
-27,-192,-121,562
-29,-193,-124,561
-30,-193,-120,563
-31,-193,-122,563
-30,-194,-118,562
-27,-193,-118,563
-28,-193,-120,560
-30,-193,-119,560
-29,-192,-120,563
-29,-194,-122,563
-30,-190,-122,563
-28,-194,-122,562
-29,-194,-122,565
-30,-193,-121,564
-27,-194,-121,561
-28,-192,-119,564
-29,-188,-121,563
-26,-193,-122,563
-23,-193,-119,563
-24,-192,-121,562
-24,-191,-122,562
-26,-194,-124,561
-26,-192,-126,562
-31,-191,-124,563
-28,-191,-121,559
-31,-194,-119,562
-28,-196,-117,564
-28,-196,-119,563
-29,-194,-117,562
-31,-192,-121,561
-29,-190,-121,562
-29,-195,-125,562
-27,-192,-122,561
-27,-190,-121,562
-30,-188,-119,562
-26,-192,-120,563
-26,-191,-119,564
-29,-192,-120,564
-28,-191,-121,561
-29,-192,-120,562
-30,-195,-118,560
-31,-191,-120,558
-32,-194,-120,559
-29,-190,-122,557
-28,-194,-120,559
-30,-192,-122,561
-28,-189,-120,558
-28,-190,-120,559
-26,-193,-123,563
-29,-191,-122,564
-27,-191,-122,565
-28,-191,-122,564
-25,-191,-124,563
-28,-191,-121,563
-28,-190,-118,564
-27,-189,-119,561
-30,-192,-119,562
-32,-193,-120,562
-29,-193,-121,559
-33,-195,-121,560
-31,-192,-121,560
-31,-192,-120,562
-28,-193,-119,563
-31,-191,-119,563
-31,-192,-121,563
-30,-193,-120,563
-29,-194,-122,563
-29,-195,-120,561
-31,-190,-120,561
-29,-187,-119,562
-29,-188,-119,562
-29,-191,-120,562
-32,-194,-120,561
-32,-191,-122,562
-31,-192,-122,562
-28,-190,-124,563
-29,-191,-121,560
-28,-190,-122,560
-26,-194,-120,562
-28,-192,-122,562
-30,-189,-123,563
-29,-195,-123,564
-29,-192,-122,565
-30,-194,-121,565
-32,-193,-121,565
-30,-191,-121,563
-29,-195,-120,563
-30,-192,-122,562
-27,-195,-122,563
-30,-193,-124,563
-30,-191,-125,565
-30,-193,-124,563
-29,-196,-121,564
-32,-194,-118,563
-31,-192,-121,562
-30,-192,-120,561
-30,-195,-119,562
-27,-193,-119,563
-28,-193,-117,563
-29,-195,-120,560
-28,-195,-119,561
-28,-196,-122,559
-28,-196,-122,561
-29,-194,-121,562
-27,-195,-121,560
-27,-194,-119,561
-27,-193,-119,563
-29,-196,-121,563
-27,-196,-122,563
-29,-196,-125,563
-26,-193,-124,561
-28,-192,-123,562
-27,-191,-122,563
-26,-190,-122,561
-26,-187,-125,560
-28,-189,-123,562
-30,-190,-120,560
-28,-192,-123,561
-28,-193,-123,561
-27,-193,-125,560
-28,-195,-127,562
-27,-195,-124,563
-27,-195,-122,564
-31,-194,-121,562
-31,-192,-122,561
-26,-192,-121,560
-26,-192,-121,560
-27,-191,-121,564
-29,-196,-122,561
-28,-195,-123,563
-29,-195,-123,561
-29,-196,-123,560
-28,-191,-122,563
-29,-192,-121,561
-28,-193,-121,566
-27,-193,-123,563
-30,-190,-124,563
-28,-190,-123,558
-29,-190,-123,558
-31,-193,-122,559
-29,-192,-119,561
-28,-193,-120,560
-29,-193,-122,563
-31,-193,-123,563
-30,-195,-120,563
-31,-192,-117,563
-26,-193,-120,562
-25,-192,-120,562
-28,-193,-120,563
-30,-197,-118,560
-28,-194,-118,561
-31,-193,-121,563
-30,-190,-121,562
-33,-191,-121,562
-31,-192,-123,560
-28,-193,-120,560
-29,-192,-121,559
-29,-192,-124,559
-26,-195,-121,561
-30,-190,-120,563
-28,-193,-122,564
-29,-193,-123,563
-27,-193,-122,563
-30,-193,-122,565
-29,-193,-121,565
-27,-194,-120,561
-26,-196,-124,562
-29,-193,-123,562
-29,-197,-125,560
-29,-192,-124,561
-30,-194,-123,563
-30,-193,-120,561
-28,-194,-121,561
-30,-192,-119,562
-32,-193,-122,565
-32,-193,-120,564
-31,-192,-121,564
-29,-191,-120,560
-27,-195,-121,563
-26,-192,-123,560
-26,-195,-119,563
-30,-193,-120,562
-28,-196,-121,564
-26,-194,-121,561
-32,-191,-120,562
-32,-190,-121,562
-30,-194,-120,564
-28,-192,-119,561
-28,-192,-121,562
-30,-190,-118,560
-31,-193,-121,562
-29,-192,-120,564
-32,-191,-122,561
-27,-196,-124,564
-27,-194,-124,563
-30,-192,-122,560
-27,-195,-120,561
-28,-192,-121,560
-31,-195,-120,560
-30,-196,-122,560
-32,-194,-124,563
-28,-193,-124,561
-29,-193,-120,562
-29,-193,-121,562
-30,-192,-121,563
-30,-193,-123,565
-26,-194,-121,563
-28,-195,-120,563
-25,-197,-120,562
-27,-197,-121,563
-28,-197,-119,562
-28,-195,-119,563
-28,-193,-119,562
-28,-192,-122,563
-26,-188,-123,565
-23,-190,-122,565
-26,-192,-122,562
-29,-192,-121,563
-31,-191,-120,563
-30,-189,-121,563
-27,-190,-120,563
-25,-193,-119,563
-25,-191,-121,565
-26,-190,-120,566
-26,-191,-119,568
-27,-193,-118,566
-26,-194,-119,564
-28,-195,-120,563
-24,-192,-119,562
-26,-194,-123,563
-27,-193,-119,561
-30,-191,-121,565
-29,-189,-119,562
-28,-192,-120,563
-29,-191,-121,561
-31,-191,-120,563
-29,-188,-122,563
